relative_humidity_set_1,wind_speed_set_1,dew_point_temperature_set_1d,peak_wind_direction_set_1
72,0,34.49,204
61,1,35.06,159
38,3,32.37,159
24,3,29.77,228
21,4,31.57,229
23,5,37.22,232
22,5,37.79,212
21,5.99,37.45,219
21,5.99,36.61,218
22,5.99,36.1,213
21,5,34.09,223
19,4,30.78,219
19,4,28.29,215
25,0,29.91,241
31,0,30.87,334
37,0,31.7,221
42,0,32.16,182
46,0,32.6,220
49,0,32.34,336
53,0,32.45,336
56,0,32.9,209
60,0,33.69,198
63,0,34.93,207
67,1,35.54,235
69,0,36.29,231
64,1,39.13,165
42,3,38.51,158
29,3,38.81,153
22,4,37.79,227
18,4,37.73,215
19,5.99,39.93,226
18,5.99,39.38,214
17,5,37.11,219
18,5,36.9,226
18,5,36.08,221
18,4,35.25,228
21,3,35.77,220
29,1,38.81,235
37,0,39.76,353
44,0,40.62,222
49,0,39.73,234
53,0,39.9,179
57,0,39.92,206
60,0,39.36,219
63,0,39.68,5
64,0,38.18,244
65,0,37.63,15
68,0,37.83,268
73,0,39.67,7
60,1,39.36,173
40,3,39.07,161
27,2,37.86,171
18,5,40.21,228
17,4,38.75,233
17,4,38.75,216
18,4,36.9,333
19,3,36.6,216
20,4,35.39,229
23,3,36.37,216
29,3,37.94,224
31,4,37.01,211
36,1,37.27,209
43,3,37.29,243
44,0,36.97,161
41,2,36.08,181
44,0,36.06,179
46,4,37.19,231
50,4,35.62,221
50,3,35.62,201
51,0,36.13,167
55,0,38.06,262
59,3,40.81,184
45,1,34.8,222
44,4,34.23,240
39,2,33.92,207
32,5,31.65,218
29,5,30.97,229
26,3,30.02,335
28,5,30.11,232
28,4,29.24,227
29,5,27.49,219
34,4,28.73,227
35,5,27.66,221
41,3,29.75,214
51,0,30.56,207
57,0,31.47,243
63,0,31.13,229
68,0,31.13,242
71,0,31.25,219
76,0,31.02,228
78,0,30.7,243
79,0,30.04,218
80,0,29.38,224
78,1,29.72,219
63,1,29.23,163
44,2,30.58,159
42,5,34.88,231
35,5,33.89,217
31,5,32.62,231
31,7,33.5,220
32,5,34.29,216
29,5,33.58,215
33,5,32.42,219
31,5.99,31.75,221
34,4,30.5,211
36,4,30.13,209
40,3,30.04,214
47,1,30.38,211
54,0,31.05,218
60,0,31.81,263
66,0,31.34,234
71,1,32.21,224
73,0,30.98,215
76,0,31.02,224
77,1,30.38,219
76,0,29.08,243
78,0,29.72,218
58,2,28.14,162
36,3,24.78,160
27,3,24.89,156
21,5,24.85,215
21,5,28.21,215
20,5.99,28.7,210
19,5.99,29.12,197
20,5.99,29.54,214
23,4,31.28,221
25,4,31.63,229
29,3,33.58,216
33,3,34.18,229
40,2,35.46,208
46,0,35.35,242
52,0,34.76,227
58,0,35.66,243
62,0,35.47,222
64,0,34.38,214
68,0,34.96,170
71,0,35.1,206
72,0,34.49,221
74,0,34.22,224
74,0,34.22,263
64,0,36.28,192
41,3,33.37,161
25,3,29.91,171
24,3,34.03,171
23,5,36.37,232
22,5,38.63,224
18,4,35.25,204
15,5,30.75,213
15,3,28.32,208
16,4,29.07,210
16,4,27.44,214
17,3,28.08,230
26,2,34.32,220
33,0,35.07,232
39,0,34.82,333
44,0,35.14,218
49,0,35.11,218
